     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3823500 2818500  1  8 23   5.8 1015 282  1.6 8  5.3  92    0    0 323 -328  1
3823500 2818500  1  8 24   5.7 1016 274  1.2 7  5.3  92    0    0 318 -327  1
3823500 2818500  1  9  1   5.6 1016 274  1.4 7  5.2  92    0    0 314 -326  1
3823500 2818500  1  9  2   5.8 1016 273  1.7 7  5.2  92    0    0 315 -326  1
3823500 2818500  1  9  3   5.6 1016 254  1.5 7  5.3  93    0    0 316 -327  1
3823500 2818500  1  9  4   5.8 1017 244  1.8 7  5.3  93    0    0 314 -330  1
3823500 2818500  1  9  5   5.8 1017 243  2.2 7  5.3  92    0    0 313 -333  1
3823500 2818500  1  9  6   5.7 1016 233  2.4 7  5.3  93    0    0 315 -334  1
3823500 2818500  1  9  7   5.7 1016 214  1.9 8  5.3  94    0    0 321 -335  1
3823500 2818500  1  9  8   5.8 1015 216  2.4 8  5.4  95    0    0 326 -337  1
3823500 2818500  1  9  9   6.1 1015 232  2.4 8  5.6  96    0    5 326 -339  1
3823500 2818500  1  9 10   6.6 1015 242  2.5 8  5.7  96    0   21 328 -341  1
3823500 2818500  1  9 11   7.1 1016 259  2.5 8  5.9  95    0   21 331 -344  1
3823500 2818500  1  9 12   7.9 1016 267  2.8 7  6.1  94    0   72 331 -347  1
3823500 2818500  1  9 13   8.5 1016 249  3.1 6  6.2  92    3   91 323 -351  1
3823500 2818500  1  9 14   8.8 1016 253  3.1 6  6.2  89    3   82 319 -352  1
3823500 2818500  1  9 15   8.6 1015 252  3.0 7  6.1  88    0   32 324 -352  1
3823500 2818500  1  9 16   8.4 1016 251  2.9 8  6.0  87    0    7 337 -351  1
3823500 2818500  1  9 17   8.3 1016 249  3.4 7  5.9  87    0    0 339 -350  1
3823500 2818500  1  9 18   8.4 1016 259  3.4 8  5.8  86    0    0 341 -350  1
3823500 2818500  1  9 19   7.8 1016 262  3.1 8  5.9  88    0    0 347 -350  1
3823500 2818500  1  9 20   7.6 1017 265  3.3 8  6.1  93    0    0 347 -350  1
3823500 2818500  1  9 21   7.8 1017 269  3.5 8  6.2  94    0    0 348 -351  1
3823500 2818500  1  9 22   7.9 1018 285  3.0 8  6.1  93    0    0 350 -351  1
3823500 2818500  1  9 23   7.9 1018 290  2.4 7  6.0  90    0    0 345 -352  1
3823500 2818500  1  9 24   7.5 1019 288  2.7 8  5.9  90    0    0 344 -352  1
3823500 2818500  1 10  1   7.0 1019 274  2.3 8  5.7  91    0    0 349 -352  1
3823500 2818500  1 10  2   6.9 1020 289  1.5 7  5.6  91    0    0 339 -352  1
3823500 2818500  1 10  3   6.4 1020 284  2.0 8  5.5  92    0    0 336 -352  1
3823500 2818500  1 10  4   5.8 1021 277  1.6 7  5.4  93    0    0 332 -351  1
3823500 2818500  1 10  5   4.8 1022 261  1.5 5  5.2  94    0    0 306 -351  1
3823500 2818500  1 10  6   4.7 1022 260  1.4 5  5.0  95    0    0 288 -349  1
3823500 2818500  1 10  7   4.1 1022 260  1.0 4  5.0  96    0    0 280 -347  1
3823500 2818500  1 10  8   4.5 1022 264  1.5 5  5.0  98    0    0 279 -344  1
3823500 2818500  1 10  9   4.5 1023 261  1.6 7  5.0  97    0    2 298 -340  1
3823500 2818500  1 10 10   4.7 1023 244  1.4 7  5.0  95    2   35 310 -339  1
3823500 2818500  1 10 11   5.0 1024 243  1.3 7  5.0  94   11   74 310 -340  1
3823500 2818500  1 10 12   5.1 1024 227  1.6 7  5.1  95    1   75 311 -346  1
3823500 2818500  1 10 13   5.7 1024 244  2.4 8  5.2  95    0   54 318 -351  1
3823500 2818500  1 10 14   6.2 1023 254  1.7 8  5.4  94    0   40 325 -353  1
3823500 2818500  1 10 15   6.8 1023 234  2.0 7  5.5  91    8   67 321 -354  1
3823500 2818500  1 10 16   6.9 1023 232  1.6 7  5.4  89   11   37 317 -355  1
3823500 2818500  1 10 17   6.8 1023 202  1.0 7  5.4  88    0    1 317 -354  1
3823500 2818500  1 10 18   7.2 1023 206  1.6 7  5.3  86    0    0 318 -353  1
3823500 2818500  1 10 19   7.4 1023 208  1.3 8  5.2  83    0    0 323 -353  1
3823500 2818500  1 10 20   7.8 1023 217  2.0 8  5.3  82    0    0 330 -354  1
3823500 2818500  1 10 21   7.8 1023 223  1.9 8  5.3  82    0    0 332 -354  1
3823500 2818500  1 10 22   7.9 1023 231  2.1 8  5.5  83    0    0 334 -355  1
3823500 2818500  1 10 23   8.1 1023 235  2.1 8  5.5  84    0    0 337 -356  1
3823500 2818500  1 10 24   8.0 1022 235  2.8 8  5.5  83    0    0 339 -356  1
3823500 2818500  1 11  1   8.3 1022 245  3.1 8  5.3  80    0    0 340 -356  1
3823500 2818500  1 11  2   8.0 1022 255  3.6 8  5.1  76    0    0 340 -356  1
3823500 2818500  1 11  3   7.4 1022 251  2.7 7  5.0  77    0    0 334 -356  1
3823500 2818500  1 11  4   7.4 1022 237  2.5 7  5.1  80    0    0 327 -355  1
3823500 2818500  1 11  5   7.8 1022 232  2.2 7  5.3  83    0    0 328 -354  1
3823500 2818500  1 11  6   8.1 1021 238  2.4 7  5.7  86    0    0 331 -353  1
3823500 2818500  1 11  7   8.3 1021 235  2.8 8  5.9  87    0    0 337 -353  1
3823500 2818500  1 11  8   8.5 1021 251  2.6 8  6.0  88    0    0 344 -352  1
3823500 2818500  1 11  9   8.5 1021 250  3.0 8  6.0  88    0    1 344 -352  1
3823500 2818500  1 11 10   8.6 1022 247  3.1 8  6.0  87    0   23 344 -352  1
3823500 2818500  1 11 11   8.2 1022 253  3.1 8  6.0  88    5   67 344 -353  1
3823500 2818500  1 11 12   8.1 1022 250  3.4 7  6.0  90    3   80 338 -354  1
3823500 2818500  1 11 13   8.0 1022 246  3.0 8  6.1  92    0   42 338 -354  1
3823500 2818500  1 11 14   8.0 1022 254  3.4 8  6.2  93    0   37 344 -355  1
3823500 2818500  1 11 15   7.9 1022 251  2.5 7  6.2  94    0   32 338 -355  1
3823500 2818500  1 11 16   8.0 1022 254  2.0 8  6.2  94    0   13 339 -356  1
3823500 2818500  1 11 17   8.0 1022 238  2.0 8  6.3  94    0    0 346 -356  1
3823500 2818500  1 11 18   8.0 1022 239  1.8 8  6.3  95    0    0 346 -357  1
3823500 2818500  1 11 19   8.1 1022 234  2.2 8  6.3  95    0    0 345 -357  1
3823500 2818500  1 11 20   8.0 1022 237  2.2 8  6.3  94    0    0 345 -357  1
3823500 2818500  1 11 21   7.7 1022 232  2.6 7  6.3  96    0    0 337 -357  1
3823500 2818500  1 11 22   7.7 1022 230  2.6 8  6.3  97    0    0 338 -357  1
3823500 2818500  1 11 23   7.8 1021 225  2.8 8  6.3  97    0    0 344 -357  1
3823500 2818500  1 11 24   7.9 1021 234  2.7 8  6.3  97    0    0 345 -357  1
3823500 2818500  1 12  1   8.1 1020 236  3.0 8  6.4  96    0    0 346 -356  1
3823500 2818500  1 12  2   8.2 1020 239  3.5 8  6.4  95    0    0 347 -356  1
3823500 2818500  1 12  3   8.2 1019 232  3.8 7  6.4  94    0    0 341 -357  1
3823500 2818500  1 12  4   8.1 1018 232  3.8 7  6.3  94    0    0 336 -357  1
3823500 2818500  1 12  5   8.1 1017 233  3.8 8  6.3  93    0    0 341 -357  1
3823500 2818500  1 12  6   7.8 1016 237  4.7 8  6.2  93    0    0 344 -356  1
3823500 2818500  1 12  7   7.8 1015 234  4.9 8  6.1  92    0    0 343 -356  1
3823500 2818500  1 12  8   7.8 1014 236  5.1 8  6.0  90    0    0 341 -356  1
3823500 2818500  1 12  9   8.0 1013 234  5.2 8  5.9  88    0    4 341 -355  1
3823500 2818500  1 12 10   8.3 1012 232  5.5 6  5.8  86    0   23 333 -354  1
3823500 2818500  1 12 11   8.2 1012 235  5.6 8  5.8  85    0   28 334 -354  1
3823500 2818500  1 12 12   7.7 1011 241  6.2 7  5.9  89    0   38 340 -354  1
3823500 2818500  1 12 13   7.9 1010 241  5.7 8  6.0  92    0   39 340 -354  1
