stunde_des_jahres,waermeverlust_kw
1038,31.891999999999996
1039,31.624
1040,31.624
1041,31.087999999999997
1042,30.551999999999996
1043,29.747999999999998
1044,28.407999999999998
1045,27.871999999999996
1046,26.531999999999996
1047,25.995999999999995
1048,25.995999999999995
1049,26.799999999999997
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,31.891999999999996
1063,32.428
1064,32.964
1065,32.428
1066,30.551999999999996
1067,28.675999999999995
1068,27.335999999999995
1069,26.799999999999997
1070,26.531999999999996
1071,25.995999999999995
1072,26.531999999999996
1073,27.335999999999995
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,37.251999999999995
1087,38.324
1088,39.12799999999999
1089,38.324
1090,35.912
1091,34.303999999999995
1092,32.696
1093,31.355999999999995
1094,30.284
1095,29.747999999999998
1096,30.284
1097,31.087999999999997
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,47.168
1111,45.827999999999996
1112,44.22
1113,43.147999999999996
1114,41.53999999999999
1115,40.199999999999996
1116,39.931999999999995
1117,38.86
1118,38.056
1119,37.788
1120,37.251999999999995
1121,37.251999999999995
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,41.53999999999999
1135,41.004
1136,42.07599999999999
1137,42.07599999999999
1138,41.004
1139,40.199999999999996
1140,39.12799999999999
1141,36.983999999999995
1142,35.108
1143,34.571999999999996
1144,34.303999999999995
1145,34.839999999999996
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,38.86
1159,38.86
1160,39.12799999999999
1161,39.663999999999994
1162,36.17999999999999
1163,32.964
1164,29.747999999999998
1165,26.799999999999997
1166,26.799999999999997
1167,27.067999999999998
1168,25.727999999999998
1169,29.211999999999996
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,47.168
1183,47.971999999999994
1184,47.70399999999999
1185,46.89999999999999
1186,45.827999999999996
1187,44.75599999999999
1188,42.879999999999995
1189,42.879999999999995
1190,42.343999999999994
1191,40.199999999999996
1192,41.004
1193,42.611999999999995
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,37.788
1207,39.12799999999999
1208,39.663999999999994
1209,37.788
1210,35.912
1211,33.767999999999994
1212,32.428
1213,30.819999999999997
1214,30.284
1215,29.747999999999998
1216,29.479999999999997
1217,30.551999999999996
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,36.44799999999999
1231,36.17999999999999
1232,35.108
1233,33.767999999999994
1234,32.428
1235,31.624
1236,30.015999999999995
1237,28.675999999999995
1238,28.407999999999998
1239,28.407999999999998
1240,27.871999999999996
1241,28.139999999999997
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,38.056
1255,36.44799999999999
1256,36.17999999999999
1257,35.912
1258,34.839999999999996
1259,35.376
1260,32.964
1261,35.108
1262,35.108
1263,32.428
1264,36.44799999999999
1265,39.931999999999995
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,46.096
1279,47.971999999999994
