stunde_des_jahres,ventilatorleistung_kw
1235,3.6363636363636362
1236,3.6363636363636362
1237,3.6363636363636362
1238,3.6363636363636362
1239,3.6363636363636362
1240,3.6363636363636362
1241,3.6363636363636362
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,3.6363636363636362
1255,3.6363636363636362
1256,3.6363636363636362
1257,3.6363636363636362
1258,3.6363636363636362
1259,3.6363636363636362
1260,3.6363636363636362
1261,3.6363636363636362
1262,3.6363636363636362
1263,3.6363636363636362
1264,3.6363636363636362
1265,3.6363636363636362
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,3.6363636363636362
1279,3.6363636363636362
1280,3.6363636363636362
1281,3.6363636363636362
1282,3.6363636363636362
1283,3.6363636363636362
1284,3.6363636363636362
1285,3.6363636363636362
1286,3.6363636363636362
1287,3.6363636363636362
1288,3.6363636363636362
1289,3.6363636363636362
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,3.6363636363636362
1303,3.6363636363636362
1304,3.6363636363636362
1305,3.6363636363636362
1306,3.6363636363636362
1307,3.6363636363636362
1308,3.6363636363636362
1309,3.6363636363636362
1310,3.6363636363636362
1311,3.6363636363636362
1312,3.6363636363636362
1313,3.6363636363636362
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,3.6363636363636362
1327,3.6363636363636362
1328,3.6363636363636362
1329,3.6363636363636362
1330,3.6363636363636362
1331,3.6363636363636362
1332,3.6363636363636362
1333,3.6363636363636362
1334,3.6363636363636362
1335,3.6363636363636362
1336,3.6363636363636362
1337,3.6363636363636362
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,3.6363636363636362
1351,3.6363636363636362
1352,3.6363636363636362
1353,3.6363636363636362
1354,3.6363636363636362
1355,3.6363636363636362
1356,3.6363636363636362
1357,3.6363636363636362
1358,3.6363636363636362
1359,3.6363636363636362
1360,3.6363636363636362
1361,3.6363636363636362
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,3.6363636363636362
1375,3.6363636363636362
1376,3.6363636363636362
1377,3.6363636363636362
1378,3.6363636363636362
1379,3.6363636363636362
1380,3.6363636363636362
1381,3.6363636363636362
1382,3.6363636363636362
1383,3.6363636363636362
1384,3.6363636363636362
1385,3.6363636363636362
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,3.6363636363636362
1399,3.6363636363636362
1400,3.6363636363636362
1401,3.6363636363636362
1402,3.6363636363636362
1403,3.6363636363636362
1404,3.6363636363636362
1405,3.6363636363636362
1406,3.6363636363636362
1407,3.6363636363636362
1408,3.6363636363636362
1409,3.6363636363636362
1410,0.0
1411,0.0
1412,0.0
