stunde_des_jahres,t
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,15.409999999999998
775,15.476999999999997
776,15.208999999999996
777,15.074999999999996
778,15.007999999999996
779,14.873999999999997
780,14.672999999999996
781,14.605999999999998
782,14.605999999999998
783,14.672999999999996
784,14.739999999999998
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,15.476999999999997
799,15.610999999999997
800,15.744999999999997
801,15.744999999999997
802,15.811999999999998
803,15.610999999999997
804,15.208999999999996
805,14.739999999999998
806,14.605999999999998
807,14.538999999999996
808,14.538999999999996
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,15.811999999999998
823,15.811999999999998
824,15.811999999999998
825,15.811999999999998
826,15.610999999999997
827,15.342999999999996
828,15.208999999999996
829,15.007999999999996
830,14.672999999999996
831,14.404999999999996
832,14.605999999999998
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,9.848999999999997
847,9.781999999999998
848,9.781999999999998
849,9.513999999999998
850,9.044999999999998
851,8.776999999999997
852,8.642999999999999
853,8.508999999999999
854,8.642999999999999
855,8.308
856,8.241
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,7.369999999999999
871,7.4369999999999985
872,7.235999999999999
873,7.168999999999999
874,7.4369999999999985
875,7.503999999999998
876,7.302999999999999
877,6.900999999999999
878,6.632999999999999
879,6.163999999999998
880,6.096999999999999
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,13.399999999999997
943,13.198999999999996
944,13.198999999999996
945,12.997999999999996
946,12.729999999999999
947,12.462
948,12.059999999999997
949,11.657999999999998
950,11.389999999999999
951,11.121999999999998
952,11.591
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,13.131999999999998
967,12.997999999999996
968,13.131999999999998
969,13.265999999999998
970,13.064999999999998
971,12.796999999999997
972,12.528999999999998
973,12.327999999999996
974,11.992999999999997
975,12.327999999999996
976,12.126999999999999
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,9.714999999999998
991,9.848999999999997
992,9.915999999999999
993,9.915999999999999
994,9.781999999999998
995,9.848999999999997
996,10.049999999999997
997,10.786999999999999
998,11.255999999999998
999,11.389999999999999
1000,11.389999999999999
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,14.337999999999997
1015,14.270999999999999
1016,14.069999999999997
1017,13.935999999999996
1018,13.265999999999998
1019,12.394999999999998
1020,12.059999999999997
1021,11.791999999999998
1022,11.791999999999998
1023,12.059999999999997
1024,12.059999999999997
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,9.982999999999999
1039,9.915999999999999
1040,9.915999999999999
1041,9.781999999999998
1042,9.648
1043,9.447
1044,9.111999999999998
1045,8.977999999999998
1046,8.642999999999999
1047,8.508999999999999
1048,8.508999999999999
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
